PSRJ,RAJ,DECJ,POSEPOCH,F0,F1,PEPOCH,DM,S1400,DIST_DM,DIST_DM1,TYPE,ASSOC,SURVEY,P0,P1,DMEPOCH,RM,S400,S150,SPINDX,W50,W10,F2,F3,NGLT,DIST_AMN,DIST_AMX,S300,CLK,EPHEM,PSRB,PMRA,PMDEC,S50,S600,TAU_SC,ELONG,ELAT,PMELONG,PMELAT,PX,UNITS,BINCOMP,BINARY,TASC,FB0,FB1,FB2,A1,EPS1,EPS2,DIST_A,PB,S3000,S4000,S800,S2000,S900,S1600,T0,PBDOT,ECC,OM,OMDOT,M2,S350,S100,S200,S80,A1DOT,S60,S5000,DM1,S40,TASC_2,PB_2,A1_2,EPS1_2,EPS2_2,SINI,M2_2,MASS_Q,S700,KOM,KIN,H3,STIG,H4,GAMMA,DM2,S100G,S150G,OM_ASC,DM3,T0_2,T0_3,PB_3,A1_3,ECC_2,ECC_3,OM_2,OM_3,SINI_2,SINI_3,M2_3,A12DOT,OM2DOT,P1˙,S6000,XDOT,F4,F5,S8000,S9000,DM4,DM5,ECCDOT,DTHETA,S1500,coord
J0024-7204X,00:24:22.38565,-72:01:17.4414,54000,209.57669,-8.0646E-16,54000,24.539,,2.587,1.05,,GC:47Tuc(NGC104),pksgc,0.004771523,1.8361023E-20,,,,,,,,,,,,,,,,,5.252,-2.551,,,,,,,,0.232,TDB,,ELL1,53278.023,,,,11.917057,0.0000004,-0.0000002,4.521,10.921184,,,,,,,,6E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.093273541666666,-72.0215115"
J0024-7204Y,00:24:01.4026,-72:04:41.8363,51600,455.23718,7.2891E-15,51600,24.468,,2.563,1.046,,"GC:47Tuc(NGC104),OPT",pksgc,0.0021966572,-3.517211E-20,,,,,,,,-2.11E-26,,,,,,UTC(NIST),DE421,,5.252,-2.551,,,,,,,,0.232,TDB,He[cpf+15],ELL1,51554.836,,,,0.6685965,-0.000003,0,4.521,0.5219386,,,,,,,,-8.2E-13,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.005844166666667,-72.07828786111111"
J0024-7204Z,00:24:06.041,-72:05:01.480,51600,219.56561,2.19E-16,51600,24.45,,2.559,1.045,,"GC:47Tuc(NGC104),XRS",misc,0.0045544473,-4.5427148E-21,,,,,,,,8E-27,,,,,,UTC(NIST),DE421,,5.252,-2.551,,,,,,,,0.232,TDB,,,,,,,,,,4.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.025170833333333,-72.08374444444443"
J0026-1955,00:26:36,-19:55:59,,,,58880.5,20.869,,25,0.953,,,"gbncc,mwa_smart",1.30615,,,,,,,85,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.6499999999999995,-19.93305555555556"
J0026+6320,00:26:50.561,+63:20:00.87,,3.1411202,-1.486E-15,56675,245.06,1,6.619,45.19,,,"misc,gbncc",0.31835777,1.5060857E-16,,-294,,,-0.9,8.1,48,,,,,,8,,,,,,,2.9,0.00034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.7106708333333325,63.333575"
J0030+0451,00:30:27.43,04:51:39.71,55664,205.5307,-4.297E-16,55664,4.33294,1.09,0.345,0.318,"HE[btlb00,aaa+09e]",GRS:4FGL_J0030.4+045,"misc,lotaas,gbncc",0.004865453,1.0172131E-20,58806.92,1.17,7.9,44.9,-1.93,,,,,,,,,TT(BIPM2017),DE436,,,,86,,,8.910354,1.4456974,-5.514,3.2,3.09,TDB,,,,,,,,,,,,,,,0.63,,,,,,,,,6.8,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0,0.0"
J0033+57,00:33,57,,,,54100,75.65,,2.251,2.658,,,"gbt350,lotaas,gbncc",0.315,,,,,29.7,,8.6,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.25,57.0"
J0033+61,00:33,61,,,,54100,37.7,,1.654,1.679,,,"gbt350,lotaas,gbncc",0.912,,,,,6.9,,16,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.25,61.0"
J0034-0534,00:34:21.83422,-05:34:36.722,,,,55000,13.76517,0.21,1.348,0.541,HE[aaa+10b],GRS:4FGL_J0034.3-053,"pks70,gbncc",0.0018771819,4.966E-21,,-38,24,265.3,-2.72,0.65,0.98,,,,,,,,,,7.9,-9.2,855,5.5,0.000000063,,,,,,TCB,He[bkb+95],ELL1,48765.598,,,,1.4377662,-0.0000031,0.000003,,1.5892818,,,,,,0.56,,,,,,,36,250,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.590975916666666,-5.576867222222222"
J0034-0721,00:34:08.8703,-07:21:53.409,52275,1.0605005,-4.59098E-16,46635,10.922,11.1,0.996,0.394,,,"mol1,pks70,lotaas",0.94295096,4.0821E-16,56843,9.89,52,640,-1.6,53,120,,,,0.95,1.11,,,,B0031-07,10.37,-11.13,560,51,0.0000000032,,,,,0.93,,,,,,,,,,,1.03,,,,6,,,,,,,,,,,,237,5070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.536959583333333,-7.364835833333333"
