PSRJ,RAJ,DECJ,POSEPOCH,F0,F1,PEPOCH,DM,S1400,DIST_DM,DIST_DM1,TYPE,ASSOC,SURVEY,P0,P1,DMEPOCH,RM,S400,S150,SPINDX,W50,W10,F2,F3,NGLT,DIST_AMN,DIST_AMX,S300,CLK,EPHEM,PSRB,PMRA,PMDEC,S50,S600,TAU_SC,ELONG,ELAT,PMELONG,PMELAT,PX,UNITS,BINCOMP,BINARY,TASC,FB0,FB1,FB2,A1,EPS1,EPS2,DIST_A,PB,S3000,S4000,S800,S2000,S900,S1600,T0,PBDOT,ECC,OM,OMDOT,M2,S350,S100,S200,S80,A1DOT,S60,S5000,DM1,S40,TASC_2,PB_2,A1_2,EPS1_2,EPS2_2,SINI,M2_2,MASS_Q,S700,KOM,KIN,H3,STIG,H4,GAMMA,DM2,S100G,S150G,OM_ASC,DM3,T0_2,T0_3,PB_3,A1_3,ECC_2,ECC_3,OM_2,OM_3,SINI_2,SINI_3,M2_3,A12DOT,OM2DOT,P1˙,S6000,XDOT,F4,F5,S8000,S9000,DM4,DM5,ECCDOT,DTHETA,S1500,coord
J1903+0135,19:03:29.986,+01:35:38.53,57600,1.3711648,-7.5674E-15,57600,245.167,5.5,6,3.333,,,"jb1,mol2,pksmb,gb4,p",0.72930694,4.0250137E-15,,72.3,58,,-2,7.1,19,,,,2.8,3.9,,,,B1900+01,3,-13,,31,0.000117,,,,,,TCB,,,,,,,,,,3.3,,1.3,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"285.87494166666664,1.5940361111111112"
J1903-0258,19:03:30.343,-02:58:15.6,,3.3172033,-7.473E-15,53095,114.1,0.14,4.069,3.202,,,"pksmb,gbncc",0.30145878,6.791267E-16,,,,,,5.6,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"285.87642916666664,-2.971"
J1903+0327,19:03:05.793213,+03:27:19.20911,55000,465.13522,-4.0719E-15,55000,297.5245,0.6,6.122,6.365,,OPT:[fbw+11],palfa,0.0021499125,1.8820824E-20,55000,226,,,-0.71,,,6.1E-26,,,,,,,,,-2.06,-5.21,,,0.00055,,,,,,TCB,MS[fbw+11],DD,,,,,105.59347,,,7,95.17412,,,,0.62,,,55015.582,,0.4366784,141.65248,0.00024,1.03,,,,,2.1E-14,,0.09,-0.0084,,,,,,,0.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"285.7741383875,3.455335863888889"
J1903+0415,19:03:28.321,+04:15:07.6,,,,57450,481.9,0.072,7.599,8.107,,,"palfa,fast_gpps",1.1513985,2.268E-16,,,,,,30,,,,,,,,UTC(NIST),DE436,,,,,,,,,,,,TDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"285.86800416666665,4.252111111111111"
J1903+0433g,19:03:19,+04:33,,,,,202.6,0.014,4.437,4.903,,,fast_gpps,14.0499,,,213.2,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"285.82916666666665,4.55"
J1903+0534g,19:03:29,+05:34,,,,,407.7,0.041,5.883,7.177,,,fast_gpps,0.35765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"285.8708333333333,5.566666666666666"
J1903+0601,19:03:20.874,+06:01:34.0,,2.6729603,-1.372061E-13,52146,388,0.26,5.887,7.058,,,"pksmb,palfa",0.37411705,1.9203855E-14,,176.2,,,,8.4,,,,,,,,,,,,,,,0.0055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"285.836975,6.026111111111111"
J1903-0632,19:03:37.934,-06:32:21.52,57600,2.315408,-1.81244E-14,57600,195.611,,12.449,5.366,,,"jb1,mol2,pks70,pkssw",0.43188933,3.380715E-15,,203,23,,-1.8,7.2,16,0,,,,,,,,B1900-06,,,,11.3,0.0001513,,,-2,,,TCB,,,,,,,,,,,,0.13,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"285.9080583333333,-6.539311111111111"
J1903+0654,19:03:55.28,+06:54:39.4,,,,56700,329,0.11,5.923,6.645,,,palfa,0.7912322,1.0595E-14,,,,,,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"285.9803333333333,6.910944444444445"
J1903+0839g,19:03:52,+08:39,,,,,166.5,0.181,5.312,4.861,,,fast_gpps,0.00462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"285.96666666666664,8.65"
J1903+0845g,19:03:36,+08:45,,,,,129.1,0.018,4.297,4.224,,,fast_gpps,0.15314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"285.9,8.75"
J1903-0848,19:03:11.271,-08:48:57.4,,,,54987,66.99,,2.611,2.025,,,"gbt350,gbncc",0.88732463,1.33E-15,,4.4,,,,14,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,5,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"285.7969625,-8.815944444444446"
J1903+0851g,19:03:04,+08:51,,,,,78.9,0.015,2.548,3.249,,,fast_gpps,1.23197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"285.76666666666665,8.85"
J1903+0912,19:03:42.101,+09:12:41.69,,,,57605,362.8,0.09,11.845,8.522,,,"palfa,fast_gpps",0.16631448,1.48383E-14,,,,,,6,,,,,,,,UTC(NIST),DE436,,,,,,,,,,,,TDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"285.9254208333333,9.211580555555555"
J1903+0925,19:03:55.18,+09:25:55,,2.7999063,-2.8927E-13,53396,162,0.2,6.256,4.92,,,pksmb,0.35715482,3.6899154E-14,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"285.9799166666666,9.431944444444444"
J1903+2225,19:03:52.95,+22:25:12.3,,,,49079.5,109.2,,5.756,4.843,,,ar3,0.6511854,4.45E-16,,57.7,0.8,,0.5,12,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"285.970625,22.420083333333334"
J1903-7051,19:03:38.7935,-70:51:43.461,,277.94006,-8.06E-16,56526,19.6612,0.96,0.93,0.76,HE[ckr+15],GRS:4FGL_J1903.4-705,FermiAssoc,0.003597898,1.0433566E-20,58836.742,17.61,,,-1.8,,,,,,,,,,,,-8.8,-16,,,,,,,,,,He[kcj+12],ELL1,56027.23,,,,9.938869,0.0000020261969,0.00000011855635,,11.050798,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"285.91163958333334,-70.8620725"
J1904+0004,19:04:12.7180,+00:04:05.29,54377,7.1671915,-6.0642E-15,54377,233.61,2.9,6.364,5.744,,,"pks70,pksmb,gbncc",0.13952467,1.1805258E-16,,289,16,,-1.8,7.2,15,,,,,,,,,,8,-7,,,0.000098,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.0529916666666,0.0681361111111111"
J1904+0056,19:04:07.06,+00:56:59,,,,58677,127,0.045,4.242,2.811,,,palfa,0.43808946,4E-18,,,,,,21,,,,,,,,UTC(NIST),DE436,,,,,,,,,,,,TDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.02941666666663,0.9497222222222222"
J1904-0150,19:04:55.555,-01:50:32.5,,2.63583,-6.182E-15,53107,162.2,0.09,5.305,4.395,,,pksmb,0.37938714,8.898038E-16,,,,,,4.8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.23147916666665,-1.8423611111111113"
J1904+0207g,19:04:44,+02:07,,,,,229.9,0.018,5.999,4.198,,,fast_gpps,0.00504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.1833333333333,2.1166666666666667"
J1904+0358g,19:04:22,+03:58,,,,,532,0.014,12.102,9.32,,,fast_gpps,0.75154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.09166666666664,3.966666666666667"
J1904+0412,19:04:31.382,+04:12:05.9,,,,51450,185.9,0.23,4.578,4.745,,,"pksmb,palfa",0.0710949,1.1E-19,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,He[clm+01],BT,,,,,9.6348,,,,14.934263,,,,,,,51449.45,,0.00022,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.1307583333333,4.201638888888889"
J1904+0415g,19:04:06,+04:15,,,,,521,0.053,9.609,8.85,,,fast_gpps,0.23145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.0249999999999,4.25"
J1904+0451,19:04:59.3848,+04:51:54.953,,164.13979,-1.54E-16,56242,182.705,0.093,4.401,4.737,,,palfa,0.006092368,5.7160103E-21,,,,,-2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.2474366666666,4.865264722222222"
J1904+0519g,19:04:08,+05:19,,,,,80.8,0.077,2.5,3.125,,,fast_gpps,1.68053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.0333333333333,5.316666666666666"
J1904+0535g,19:04:52,+05:35,,,,,78.4,0.045,2.429,3.093,,,fast_gpps,0.60376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.2166666666666,5.583333333333333"
J1904+0553g,19:04:17,+05:53,,,,,164.2,0.826,4.013,4.497,,,fast_gpps,0.00491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.0708333333333,5.883333333333333"
J1904+0603g,19:04:52,+06:03,,,,,413.2,0.024,6.075,7.405,,,fast_gpps,1.97493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.2166666666666,6.05"
J1904+0738,19:04:07.533,+07:38:51.69,,,,54760,278.32,0.23,6.154,6.252,,,palfa,0.20895833,4.10898E-16,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.03138749999994,7.647691666666666"
J1904+0800,19:04:03.50,+08:00:52.6,,,,51911,438.8,0.36,10.966,8.643,,,"pksmb,palfa",0.26334473,1.7317E-14,,769.6,,,-0.61,6.9,,,,,,,,,,,,,,,0.00244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.0145833333333,8.014611111111112"
J1904+0823g,19:04:44,+08:23,,,,,60.4,0.022,1.838,2.838,,,fast_gpps,1.50773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.1833333333333,8.383333333333333"
J1904+0836g,19:04:35,+08:36,,,,,90.5,0.017,2.926,3.472,,,fast_gpps,0.00444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.1458333333333,8.6"
J1904+0852g,19:04:55,+08:52,,,,,195.1,0.036,5.894,5.33,,,fast_gpps,0.00619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.22916666666663,8.866666666666667"
J1904+1011,19:04:02.49,+10:11:34.6,,,,51600,135,0.58,5.496,4.472,,,"ar1,ar2,ar3,pksmb,pa",1.8565698,2.76E-16,,-98.1,4.4,,-1.65,134,172,,,,,,,,,B1901+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.010375,10.192944444444445"
J1904-11,19:04:34,-11:30:34,,,,,97.7,,4.659,2.769,"HE[trr+21,aab+22]",GRS:4FGL_J1904.4-112,FermiAssoc,0.00262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.14166666666665,-11.509444444444444"
J1904-1224,,,51037,1.3318982,-1.31691E-15,51037,118.23,0.3,7.274,3.37,,,"pks70,pkssw,htru_pks",0.7508081,7.4235905E-16,,28,6,,-4.09,9.5,25,-3E-27,,,,,,,,,,,,2,0.0000409,286.0092,10.1465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0,0.0"
J1904-1629,19:04:51.37,-16:29:19,,,,57039,145,0.17,25,4.514,,,htru_pks,1.541412,3.19E-15,,,,,,12.4,30.8,,,,,,,,,,,,,,,,,,,,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.2140416666666,-16.488611111111112"
J1904+33,19:04,33,,,,,81.04,,9.134,4.569,,,gbncc,0.417,,,,,,,15,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"285.99999999999994,33.0"
J1905-0056,19:05:27.752,-00:56:40.8,57600,1.5547667,-7.3951E-15,57600,229.131,0.7,7.644,6.009,,,"gb3,pks70,pksmb,htru",0.64318335,3.0592403E-15,57600,141.8,9.8,,-2.19,3.1,8.8,,,,,,,,,B1902-01,,,,5.2,0.000054,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.3656333333333,-0.9446666666666667"
J1905+0154A,19:05:15.4,+01:54:33,,,,53735,193.692,0.023,5.509,3.361,,GC:NGC6749,misc,0.0031929407,,,,,,,0.51,,,,,,,,,,,-2.829,-6.006,,,,,,,,0.138,,He(?)[hrs+07],ELL1,52493.832,,,,0.58862,,,7.59,0.81255245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.3141666666666,1.9091666666666667"
J1905+0400,19:05:28.273436,04:00:10.8830,,264.24234,-3.425E-16,53700,25.6923,0.05,1.064,1.698,,,pksmb,0.0037844048,4.905189E-21,,,,21,,0.59,,,,,,,,,,,-3.8,-7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.3678059833333,4.0030230555555555"
J1905+0414,19:05,+04:14,,,,,383,,9.081,7.347,RRAT[pab+18],,palfa,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.24999999999994,4.233333333333333"
J1905+0450g,19:05:59,+04:50,,,,,442.3,0.008,9.912,8.284,,,fast_gpps,0.7833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.4958333333333,4.833333333333333"
J1905+0600,19:05:04.35,+06:00:59.9,,2.2664957,-5.714E-15,52048,730.1,0.42,8.797,11.614,,,"pksmb,palfa",0.44120976,1.1123218E-15,,,,,-3.4,11,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.26812499999994,6.016638888888889"
J1905+0616,19:05:06.849,+06:16:16.7,,,,51631,256.05,0.51,4.952,5.686,,,"ar4,pksmb,palfa",0.98970604,1.35232E-13,,136.5,0.5,,-3.17,11,21,,,,,,1.9,,,,,,,2.4,0.0159,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.27853749999997,6.271305555555555"
J1905+0656g,19:05:45,+06:56,,,,,23,0.028,1.041,1.646,,,fast_gpps,2.51165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.43749999999994,6.933333333333334"
J1905+0709,,,49466,1.5431145,-1.1767E-14,49466,245.34,1.9,4.98,5.668,,,"jb2,pksmb,palfa",0.64804006,4.941621E-15,,272.7,,,-2.58,37,63,6.7E-25,,,,,,,,B1903+07,,,,5.5,0.0142,288.86523,29.52216,,,,,,,,,,,,,,,,0.59,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0,0.0"
J1905+0758g,19:05:48,+07:58,,,,,200.7,0.015,4.807,5.207,,,fast_gpps,1.19276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.44999999999993,7.966666666666667"
J1905+0902,19:05:19.535,+09:02:32.49,,,,54570,433.4,0.097,11.553,9.066,,,palfa,0.21825291,3.49853E-15,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.33139583333326,9.042358333333333"
J1905+0920g,19:05:09,+09:20,,,,,396.6,0.01,11.55,8.777,,,fast_gpps,0.17047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.28749999999997,9.333333333333334"
J1905+0936g,19:05:25,+09:36,,,,,414,0.047,12.298,9.217,,,fast_gpps,1.63451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.3541666666666,9.6"
J1905+1034,19:05:20.625,+10:34:27.7,,,,57737,164,0.04,6.91,4.965,,,"palfa,fast_gpps",1.7268102,2.0698E-14,,,,,,26,,,,,,,,UTC(NIST),DE436,,,,,,,,,,,,TDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.33593749999994,10.574361111111111"
J1906+0055,19:06:48.68051,+00:55:07.886,,,,56408,126.8317,0.122,4.477,3.318,,,palfa,0.0027895523,3.32E-21,,,,,-2.33,,,,,,,,,,,,,,,,,,,,,,,He[sab+16],ELL1,56407.56,,,,0.6250279,-0.000001,0.000001,,0.60960716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.7028354583333,0.9188572222222222"
J1906+0414,19:06:57.793,+04:14:29.44,,0.9584405,-1.0528E-14,53677,349,0.23,10.069,7.476,,,pksmb,1.0433617,1.1460817E-14,,787,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.74080416666663,4.2415111111111115"
J1906+0454,19:06:47.13970,+04:54:09.042,58100,480.01266,-6.87E-16,58100,142.793,0.043,4.092,4.231,,,palfa,0.0020832783,2.9816135E-21,,,,,,0.2,,,,,,,,,DE421,,-6,-14,,,,,,,,,TDB,He[pkr+19],ELL1,58101.402,,,,4.350215,,,,7.04187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.69641541666664,4.902511666666667"
J1906+0509,19:06:56.497,+05:09:35.6,,,,56406,99.5,0.07,3.091,3.501,,,palfa,0.39758968,5.2152E-15,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.7354041666666,5.159888888888889"
J1906+0641,,,49613,3.7414646,-2.98953E-14,49613,472.8,2.8,6.816,8.313,,,"jb2,pksmb,ar4,palfa",0.267275,2.1355985E-15,,371.5,2.8,,-1.03,17,27,-6.8E-27,,,5,9,,,,B1904+06,,,,1.5,0.00488,288.99072,29.03254,-6,-1.4,,,,,,,,,,,,7,,1.234,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0,0.0"
J1906+0646g,19:06:15,+06:46,,,,,290.5,0.048,5.317,6.087,,,fast_gpps,0.35552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.5625,6.766666666666667"
J1906+0649,19:06:11.97,+06:49:48.1,,0.7772639,-9.2E-17,52317,249,0.3,4.966,5.617,,,pksmb,1.2865644,1.522828E-16,,-15.9,,,,40,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.549875,6.830027777777778"
J1906+0722,19:06:31.20,+07:22:55.8,,8.966669,-2.884709E-12,55716,,,,,NRAD,GRS:4FGL_J1906.4+072,FermiBlind,0.111524135,3.587895E-14,,,,,,,,3.18E-23,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.63,7.3821666666666665"
J1906+0724,19:06:22.577,+07:24:22.8,,,,57080,476.4,0.045,6.929,8.433,,,"palfa,fast_gpps",1.5364901,2.999E-15,,,,,,23,,,,,,,,UTC(NIST),DE436,,,,,,,,,,,,TDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.5940708333333,7.406333333333333"
J1906+0746,19:06:48.86,+07:46:25.9,,6.9409184,-9.7643E-13,54289,217.7508,0.55,4.814,5.401,,,palfa,0.14407316,2.0267828E-14,,150,0.9,,,0.6,1.7,5E-23,-1.8E-30,,6,9.9,,,,,,,,,,,,,,,,NS(?)[vks+15],DD,,,,,1.419962,,,7.4,0.16599305,0.12,,0.72,,,,54288.93,-5.6E-13,0.0853028,76.332,7.5841,,,,,,,,,,,,,,,,,,,,,,,,,0.00047,,,,,,,,,,,,,,,,,,,,0.03,,-1.7E-37,,,,,,,,,"286.7035833333333,7.773861111111111"
J1906+0757g,19:06:40,+07:57,,,,,79,0.015,2.465,3.215,,,fast_gpps,0.05719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.6666666666667,7.95"
J1906+0822g,19:06:38,+08:22,,,,,367.9,0.009,7.037,7.546,,,fast_gpps,0.43344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.6583333333333,8.366666666666667"
J1906+0912,19:06:28.46,+09:12:56.6,,1.2897491,-2.2E-16,51360,265,0.32,7.414,6.441,,,"pksmb,palfa",0.77534455,1.3225502E-16,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286.61858333333333,9.215722222222222"
